run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta,rho,gamma,delta
20260218-144529_seed1_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,500,2,0.1,0.05,90,0.0,0.0,20,,0.5279999440000036,0.5317099365800027,0.003709992579999044,0.2,0.5,0.8
20260218-144530_seed2_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,500,2,0.1,0.05,90,0.0,0.0,20,,0.5279799440400037,0.5319099361800028,0.003929992139999117,0.2,0.5,0.8
20260218-144531_seed3_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,500,2,0.1,0.05,90,0.0,0.0,20,,0.5275999448000039,0.5315799368400028,0.003979992039998881,0.2,0.5,0.8
20260218-144532_seed4_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,500,2,0.1,0.05,90,0.0,0.0,20,,0.528379943240004,0.5322699354600025,0.003889992219998417,0.2,0.5,0.8
20260218-144533_seed5_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,500,2,0.1,0.05,90,0.0,0.0,20,,0.5277499445000039,0.5317699364600026,0.004019991959998692,0.2,0.5,0.8
20260218-144534_seed6_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,500,2,0.1,0.05,90,0.0,0.0,20,,0.5281899436200043,0.5319499361000033,0.0037599924799990303,0.2,0.5,0.8
20260218-144535_seed7_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,500,2,0.1,0.05,90,0.0,0.0,20,,0.5275899448200037,0.5314599370800028,0.0038699922599991776,0.2,0.5,0.8
20260218-144536_seed8_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,500,2,0.1,0.05,90,0.0,0.0,20,,0.5279499441000044,0.5316999366000033,0.0037499924999988554,0.2,0.5,0.8
20260218-144537_seed9_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,500,2,0.1,0.05,90,0.0,0.0,20,,0.5276199447600041,0.5314699370600031,0.00384999229999905,0.2,0.5,0.8
20260218-144538_seed10_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,500,2,0.1,0.05,90,0.0,0.0,20,,0.5285299429400037,0.5323399353200031,0.0038099923799994606,0.2,0.5,0.8
20260218-144539_seed11_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,500,2,0.1,0.05,90,0.0,0.0,20,,0.5283299433400037,0.5321399357200024,0.0038099923799986835,0.2,0.5,0.8
20260218-144540_seed12_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,500,2,0.1,0.05,90,0.0,0.0,20,,0.5287399425200038,0.5323899352200028,0.003649992699998994,0.2,0.5,0.8
20260218-144541_seed13_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,13,500,2,0.1,0.05,90,0.0,0.0,20,,0.5287999424000038,0.5324499351000026,0.003649992699998772,0.2,0.5,0.8
20260218-144543_seed14_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,14,500,2,0.1,0.05,90,0.0,0.0,20,,0.5277799444400038,0.5316199367600029,0.003839992319999097,0.2,0.5,0.8
20260218-144544_seed15_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,15,500,2,0.1,0.05,90,0.0,0.0,20,,0.527819944360004,0.531599936800003,0.003779992439998936,0.2,0.5,0.8
20260218-144545_seed16_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,16,500,2,0.1,0.05,90,0.0,0.0,20,,0.5274399451200036,0.5312699374600027,0.0038299923399991442,0.2,0.5,0.8
20260218-144546_seed17_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,17,500,2,0.1,0.05,90,0.0,0.0,20,,0.5275799448400037,0.531919936160003,0.004339991319999292,0.2,0.5,0.8
20260218-144547_seed18_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,18,500,2,0.1,0.05,90,0.0,0.0,20,,0.5271599456800035,0.5309699380600028,0.0038099923799993496,0.2,0.5,0.8
20260218-144548_seed19_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,19,500,2,0.1,0.05,90,0.0,0.0,20,,0.5275599448800037,0.5313899372200026,0.003829992339998922,0.2,0.5,0.8
20260218-144549_seed20_N500_T2_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,20,500,2,0.1,0.05,90,0.0,0.0,20,,0.5276899446200038,0.5314799370400031,0.003789992419999222,0.2,0.5,0.8
